X,x,Density
1,20430.649,411.8700669
2,18833.3,383.2829202
3,16768.419,346.3285314
4,17088.303,352.0533736
5,18035.469,369.0044427
6,20935.6,420.9069826
7,20534.4,413.726859
8,20121.86,406.3437878
9,20982.225,421.7414125
10,21166.32,425.0360906
11,21157.595,424.8799426
12,20564.27,414.261431
13,21630.622,433.3455266
14,22184.618,443.260182
15,20417.127,411.6280688
16,22811.294,454.4755637
17,23008.647,458.0075152
18,22344.676,446.1246791
19,22294.904,445.2339285
20,23169.024,460.8777212
21,21049.028,422.9369603
22,21572.056,432.2973932
23,22274.25,444.8642918
24,21965.729,439.3428089
25,21266.213,426.8238375
26,26197.3,515.0736234
27,26355.8,517.9102375
28,26063.6,512.6808454
29,26447.054,519.5433756
30,26241.212,515.8594997
31,20617.565,415.2152313
32,20578.13,414.5094782
33,21720.522,434.9544327
34,20637.417,415.570515
35,20328.255,410.0375605
36,21563.314,432.140941
37,21581.829,432.4722969
38,21396.029,429.147105
39,21439.722,429.929062
40,21576.975,432.3854267
41,24759.393,489.3399495
42,25665.321,505.5529979
43,27665.607,541.3513545
44,27082.327,530.9126145
45,26118.958,513.6715665
46,28531.677,556.8510794
47,28304.452,552.7845202
48,26966.258,528.8353718
49,28682.424,559.5489411
50,29588.043,575.7564594
51,27186.368,532.7745967
52,25686.368,505.929668
53,24695.421,488.195067
54,23929.845,474.4938449
55,24125.108,477.9883924
56,38553.8,736.2131975
57,39085.475,745.7283825
58,37434.75,716.1859859
59,37874.029,724.0475948
60,38203.875,729.9507231
61,29798.417,579.5214427
62,32245.722,623.3199282
63,26457.861,519.7367844
64,30442.899,591.0554916
65,27229.945,533.5544776
66,17231.923,354.623686
67,25077.692,495.0364255
68,38049.867,727.1945005
69,24904.012,491.9281407
70,19797.345,400.5360664
