X,x,Density
1,20480.5,412.7622312
2,16407.95,339.8773551
3,14075.5,298.1343858
4,14163.5,299.7092883
5,12992.3,278.748768
6,24316.556,481.4146644
7,16925.167,349.1337907
8,20326.667,410.0091406
9,17483.945,359.1340277
10,15584.888,325.1473279
11,34513.333,663.9024986
12,27854.25,544.7274264
13,24135,478.1654258
14,21749.2,435.4676719
15,20053.75,405.124849
16,31165.5,603.9876065
17,27529.7,538.9190787
18,20593,414.7756009
19,24166.667,478.732158
20,21138,424.5292583
21,24966.5,493.0464646
22,26224,515.5514631
23,21283.8,427.1385854
24,22686.25,452.2376988
25,19847,401.424723
26,38984.6,743.923061
27,31266.2,605.789796
28,28639.46,558.7800307
29,21785.167,436.1113596
30,21432.4,429.798023
31,35297.375,677.9341996
32,33407.286,644.1079967
33,27192.87,532.8909605
34,26407.4,518.8337031
35,24723.15,488.6913223
36,35577.286,682.9436602
37,30074.273,584.4583325
38,28239.333,551.6191102
39,26657.941,523.3175399
40,25780.498,507.6142768
41,32641.846,630.4092085
42,33181.333,640.0642019
43,32924.6,635.4695492
44,29052.5,566.1720503
45,23176.59,461.0131271
46,30898.5,599.2092092
47,26455.75,519.6990046
48,21604,432.8690828
49,20054.333,405.1352828
50,19267,391.0446839
