X,x,Density
1,32119,621.0520328
2,31234,605.2135249
3,33027,637.302163
4,32424.5,626.51945
5,31223,605.0166621
6,33614.5,647.8164267
7,36178,693.6944098
8,32874,634.5639802
9,34015,654.9840227
10,33736.5,649.9998142
11,32893.5,634.9129643
12,30753.5,596.6141994
13,30001.5,583.1559418
14,32061,620.0140289
15,30657,594.8871757
16,40166.857,765.0814642
17,41844.286,795.1017721
18,38009.857,726.4784568
19,42030.53,798.4349101
20,37990.265,726.1278262
21,42739,811.1141278
22,42576,808.1969789
23,42232.4,802.0477006
24,42189.9,801.2870943
25,43354,822.1205486
26,38972.833,743.7124715
27,39668.167,756.1565993
28,38933.333,743.005555
29,39314.71,749.830914
30,39454.555,752.3336667
31,44086,835.2208738
32,46080,870.9067323
33,45796.364,865.8306068
34,45718.798,864.4424377
35,45088.45,853.1613396
36,47911.714,903.6882201
37,49073.429,924.478991
38,47010.286,887.5557065
39,50199.843,944.6379933
40,47963.24,904.6103613
41,46584.286,879.9317468
42,44505.786,842.7336239
43,48735,918.422256
44,44291.5,838.898629
45,26688.269,523.8603086
46,51461.308,967.2139519
47,50869.077,956.6150193
48,52168.308,979.8668616
49,51201.417,962.5627817
50,50807.913,955.5203905
