X,x,Density
1,21605.222,3298.92291
2,25337.5,4077.028825
3,23252.8,3642.410235
4,19434.9,2846.453832
5,18956,2746.612683
6,28201.444,4674.104329
7,22147.6,3411.997962
8,17428.429,2428.144437
9,18578.5,2667.911423
10,17633.752,2470.950209
11,31565.429,5375.428461
12,24872.4,3980.064703
13,24028.8,3804.19084
14,20226.398,3011.465462
15,16774.235,2291.757967
16,29292.4,4901.547011
17,23925.8,3782.717383
18,21697,3318.056802
19,19667.388,2894.922968
20,16938.632,2326.03148
21,29564.3,4958.232766
22,23098,3610.137507
23,16872.598,2312.264701
24,15970.25,2124.143045
25,15635.274,2054.307195
26,49684.333,9152.860468
27,34824.267,6054.831529
28,28577.923,4752.592731
29,23915.25,3780.517918
30,20897.65,3151.408186
31,48269.824,8857.963406
32,32762.235,5624.938767
33,25408.313,4091.791931
34,25620.091,4135.943442
35,21948.4,3370.468715
36,49301.125,9072.969203
37,31267.571,5313.330977
38,27649.626,4559.061224
39,21867.571,3353.617472
40,18779.72,2709.861801
41,38411.5,6802.698439
42,29953.524,5039.378248
43,26725.364,4366.370934
44,22026.5,3386.751015
45,19204.942,2798.512151
46,27578.385,4544.208889
47,25765.667,4166.29315
48,22695.333,3526.189426
49,18771.925,2708.236698
50,16441.783,2222.448321
