 ,Mean
1,16560.667
2,12136.000
3,11132.400
4,14784.000
5,12305.500
6,22404.900
7,15654.000
8,14721.000
9,15922.800
10,13117.500
11,20414.714
12,16676.833
13,13370.000
14,14273.500
15,13741.500
16,23330.600
17,17592.667
18,11453.600
19,10076.500
20,9467.000
21,15482.250
22,17606.286
23,13236.833
24,14579.333
25,9601.000
26,35657.684
27,28588.917
28,17026.750
29,16273.500
30,12227.800
31,35236.391
32,26644.348
33,20471.300
34,17767.909
35,15856.556
36,42388.731
37,31537.611
38,24622.143
39,26281.667
40,21419.667
41,27698.353
42,23744.071
43,22493.000
44,16940.000
45,15163.000
46,25324.667
47,19689.000
48,21190.000
49,17662.200
50,17946.000
