 ,Mean
1,20844.700
2,22184.000
3,22692.900
4,24104.500
5,19526.833
6,27529.143
7,26526.714
8,28813.429
9,29666.714
10,32032.286
11,35626.250
12,32348.875
13,36488.143
14,41263.667
15,46233.125
16,32995.333
17,32202.400
18,32803.125
19,34928.714
20,37440.714
21,30901.909
22,27283.846
23,28087.615
24,31547.545
25,31841.091
26,48445.714
27,47595.929
28,45311.643
29,48509.429
30,47653.643
31,50668.800
32,52759.667
33,54063.533
34,48676.933
35,43768.400
36,43931.409
37,44435.909
38,49923.462
39,47647.625
40,48958.000
41,42208.900
42,39966.000
43,43278.000
44,45311.778
45,52587.714
46,36624.833
47,36611.400
48,37636.800
49,36183.000
50,39696.333
