 ,Mean
1,8499.887
2,7501.159
3,12045.516
4,7944.238
5,7572.644
6,10484.726
7,10248.929
8,8736.076
9,8820.479
10,13901.833
11,16236.566
12,15466.358
13,17114.552
14,16238.341
15,13554.098
16,19776.161
17,18775.484
18,17301.452
19,19169.613
20,17385.452
21,15806.143
22,16225.971
23,16731.514
24,15231.227
25,16801.000
26,18111.788
27,18452.182
28,16584.758
29,17175.517
30,16999.931
31,16602.970
32,17299.182
33,18777.485
34,17902.091
35,16267.879
36,17646.857
37,17781.179
38,18571.357
39,17533.160
40,17137.520
41,22533.390
42,21635.339
43,21755.327
44,21624.673
45,24943.290
46,23366.263
47,22102.053
48,22159.026
49,24055.026
50,24416.333
51,25365.407
52,25065.037
53,24477.667
54,25352.926
55,25334.556
56,21409.364
57,22354.273
58,23057.727
59,19812.227
60,20286.583
61,24652.630
62,24168.185
63,24455.593
64,24862.630
65,23760.852
66,13587.421
67,12850.842
68,14188.455
69,15221.455
70,16705.364
