X,x,Density
1,9039.14,456.8986859
2,8873.43,431.0697284
3,9010.393,452.4179362
4,8980.922,447.8243377
5,9012.235,452.7050458
6,9878.654,587.7524151
7,9902.365,591.4482115
8,9916.468,593.646424
9,9913.236,593.1426572
10,9794.086,574.5709337
11,9696.087,559.2959835
12,9590.5,542.8383035
13,9514.87,531.0499742
14,9749.603,567.6374384
15,9615.783,546.7791251
16,9812.677,577.4686837
17,9809.419,576.9608644
18,9856.323,584.2717172
19,9856.74,584.3367144
20,9875.033,587.1880156
21,10107.611,623.4395833
22,10107.194,623.3745861
23,9921.194,594.3830582
24,10264.388,647.8761681
25,10879.469,743.747878
26,10307.378,654.576952
27,10374.216,664.9948861
28,10069.811,617.5477566
29,10371.6,664.5871343
30,10458.635,678.1531431
31,9887.071,589.0643597
32,9737.75,565.7899299
33,10041.786,613.1795439
34,9614.322,546.5514013
35,9797.446,575.0946517
36,9938.543,597.0872195
37,9748.457,567.4588132
38,9923.714,594.7758466
39,9944.619,598.0342761
40,9859.066,584.6992643
41,10352.167,661.5581431
42,10405.733,669.9073914
43,10360.167,662.8050905
44,10421.361,672.3433032
45,10399.024,668.8616701
46,10593.472,699.1699746
47,10595.278,699.451473
48,10454.611,677.5259285
49,10566.95,695.0360321
50,10646.086,707.3708362
51,10544.444,691.5280572
52,10531.139,689.4542277
53,10586.528,698.0876242
54,10515.328,686.989792
55,10573.144,696.0014811
56,10466.476,679.3753074
57,10645.786,707.3240756
58,10306.286,654.4067436
59,10588.976,698.4691901
60,10384.038,666.5258258
61,11110.275,779.7232468
62,11053.125,770.8153661
63,11186.05,791.5341771
64,11112.428,780.0588316
65,11205.535,794.5712735
66,10940.88,753.3199141
67,10997.494,762.1442494
68,10900.723,747.0607056
69,10888.586,745.1689305
70,10995.748,761.8721032
71,10634.382,705.5465521
72,10337.647,659.2949335
73,10837.912,737.2704536
74,10421.776,672.4079886
75,10985.512,760.2766339
