X,x,Density
1,9563.667,538.655886
2,9714.333,562.1399588
3,9574.444,540.33568
4,9649.2,551.9877804
5,9444.994,520.1585118
6,9862.429,585.2234499
7,10141.143,628.6661635
8,9774,571.4401605
9,9887.385,589.1133024
10,9664.489,554.3708528
11,10183.222,635.2249511
12,9945.111,598.1109634
13,10434.556,674.3999872
14,10399.531,668.9406954
15,10063.694,616.5943094
16,10806.8,732.421075
17,10932.6,752.0293235
18,10634.5,705.5649445
19,10884.7,744.5632257
20,10943.818,753.7778556
21,11899.182,902.6889424
22,11568.545,851.1530723
23,11908.636,904.1625225
24,11802.97,887.692529
25,12115.771,936.4483298
26,12758.2,1036.582729
27,12629.2,1016.475702
28,12773,1038.889582
29,12581.457,1009.034076
30,12716.02,1030.008199
31,12434.2,986.0813581
32,12377.5,977.2436181
33,12524.6,1000.171864
34,12403,981.2182631
35,12452.803,988.9809785
36,12636.286,1017.580186
37,12760.857,1036.996872
38,12536.429,1002.015632
39,12758.645,1036.652091
40,12933.66,1063.931404
41,12827,1047.306477
42,13084.538,1087.448521
43,12626.615,1016.072782
44,12995.536,1073.575919
45,12798.923,1042.93016
46,12450.667,988.6480436
47,12673.733,1023.416991
48,12257.4,958.5238197
49,12724.07,1031.264
50,12724.47,1031.325
