X,x,Density
1,16299.203,1795.972755
2,17437.671,2014.533415
3,15812.367,1702.511017
4,14035.975,1361.483066
5,13715.6,1299.978156
6,20698.478,2640.536195
7,19323.674,2376.604252
8,18951.924,2305.236479
9,20309.509,2565.862755
10,20191.061,2543.12336
11,14223.049,1397.397134
12,14376.765,1426.907204
13,14566.392,1463.311391
14,12749.205,1114.451703
15,12323.193,1032.666827
16,17928.909,2108.84024
17,18411.705,2201.526387
18,19873.25,2482.110682
19,15510.978,1644.650999
20,13325,1224.9916
21,14695.667,1488.12933
22,14126.848,1378.928671
23,14045.288,1363.270956
24,14610.409,1471.761681
25,15156.167,1576.535139
26,12552.839,1076.753777
27,12738.887,1112.470875
28,13346.258,1229.072666
29,12323.578,1032.740739
30,12543.703,1074.999867
31,14051.851,1364.530906
32,13387.122,1236.917649
33,13263.5,1213.184961
34,13986.649,1352.013565
35,14247.203,1402.034167
36,15686.198,1678.289361
37,15684.535,1677.970102
38,15106.57,1567.013613
39,16028.5,1744.003769
40,16557.93,1845.642613
41,20799.263,2659.884684
42,20576.112,2617.044631
43,20210.925,2546.936809
44,20805.05,2660.99566
45,19665.325,2442.193683
46,21828.759,2857.525132
47,21760.448,2844.410932
48,21157.839,2728.723341
49,21629.322,2819.237642
50,21529.402,2800.055214
51,17573.933,2040.692704
52,16390.947,1813.585572
53,15177.067,1580.547476
54,18055.027,2133.052105
55,18568.827,2231.690334
