X,x,Density
1,19957.286,2498.243734
2,20313.4,2566.609741
3,12717.667,1108.397105
4,14050,1364.175555
5,14292,1410.6342
6,14917,1530.620368
7,11163.2,809.9738428
8,10120.667,609.830579
9,12649,1095.214561
10,11711,915.1393195
11,19423.636,2395.794744
12,22317.375,2951.328591
13,14504.556,1451.440248
14,12269.6,1022.378157
15,9146,422.7160853
16,13288.6,1218.003606
17,15314.2,1606.873977
18,14264.75,1405.402803
19,10718.75,724.6492789
20,9394,470.3265968
21,19308,2373.595191
22,16864.4,1904.47807
23,14685.667,1486.209551
24,12760,1116.524104
25,9227.667,438.3943419
26,32771.909,4958.367751
27,30284.5,4480.840271
28,24350.857,3341.712132
29,22337,2955.096157
30,17175.333,1964.170325
31,32261.357,4860.353066
32,33866.353,5168.476778
33,27140.5,3877.261851
34,20585.571,2618.860549
35,19317.833,2375.48291
36,35426.714,5468.031558
37,27716.833,3987.905032
38,26929.833,3836.818449
39,20159.25,2537.016352
40,17307.375,1989.519467
41,30113,4447.916067
42,25491.571,3560.703975
43,20712.5,2643.228108
44,21007.375,2699.837582
45,18454,2209.646091
46,33398.556,5078.670107
47,23799.2,3235.806197
48,18681,2253.225067
49,19489.75,2408.487169
50,17376.6,2002.809135
