X,x,Density
1,20484.667,2599.489214
2,25532,3568.465448
3,26067.833,3671.333526
4,24802,3428.321604
5,28243.167,4088.949512
6,26783.167,3808.661823
7,26533.833,3760.795213
8,33624.333,5122.014294
9,27140,3877.165862
10,26457.5,3746.140966
11,27397.714,3926.641247
12,27467.571,3940.052245
13,27088,3867.183013
14,25359,3535.253277
15,24751.429,3418.613091
16,29876.9,4402.590092
17,30615,4544.288957
18,29893.5,4405.776925
19,27104.3,3870.312252
20,26219.7,3700.488629
21,39584.333,6266.202394
22,40324.111,6408.223398
23,41774.333,6686.633927
24,37891,5941.119933
25,37027.333,5775.314982
26,49413.818,8153.245978
27,47430.091,7772.414296
28,46018,7501.324075
29,49788.727,8225.220209
30,49095.455,8092.127328
31,52022.438,8654.043287
32,47023.625,7694.38182
33,45925.562,7483.578025
34,56579.909,9528.976858
35,55232.909,9270.382669
36,50268,8317.230019
37,49220,8116.037212
38,51974.333,8644.808192
39,52702,8784.504152
40,55027.889,9231.023366
41,37377.067,5842.456171
42,38462,6050.739296
43,39639.133,6276.722781
44,38471.267,6052.518355
45,38331.133,6025.615728
46,38323.75,6024.198356
47,37973,5956.862118
48,38593.75,6076.03238
49,39853.167,6317.812572
50,39516,6253.08397
