 ,Mean
1,15164.000
2,8837.000
3,9122.667
4,8675.000
5,5090.000
6,14726.500
7,10293.500
8,11006.000
9,7724.000
10,7963.000
11,19869.636
12,21739.000
13,14501.800
14,9381.667
15,7089.000
16,11706.000
17,8299.000
18,8159.000
19,8914.000
20,7105.000
21,13529.500
22,12508.800
23,11847.500
24,9689.667
25,5721.000
26,28669.143
27,21085.000
28,19761.143
29,13330.000
30,13093.750
31,32614.286
32,25529.200
33,21390.889
34,19968.625
35,20998.600
36,25268.000
37,18957.364
38,14426.667
39,16218.833
40,7352.800
41,28782.500
42,19114.111
43,20543.200
44,15685.200
45,15707.600
46,20157.900
47,18635.600
48,14975.167
49,16196.600
50,11799.000
