 ,Mean
1,23572.833
2,20784.667
3,20450.250
4,25098.600
5,25723.600
6,20038.667
7,21538.833
8,25938.500
9,20215.667
10,21100.333
11,21031.571
12,22239.714
13,22577.000
14,21130.000
15,20929.714
16,21483.857
17,21972.714
18,24164.778
19,23405.500
20,24441.167
21,31194.000
22,32494.222
23,32316.889
24,30261.444
25,30873.889
26,37454.111
27,35481.222
28,36006.750
29,36687.000
30,37674.417
31,43835.308
32,45694.556
33,43320.667
34,43966.000
35,42751.538
36,37650.500
37,36233.375
38,35644.500
39,45237.333
40,37885.909
41,27458.562
42,33087.714
43,33407.714
44,34151.143
45,35236.000
46,29217.750
47,28927.375
48,31610.250
49,29661.000
50,29247.000
