 ,Mean
1,9736.227
2,12894.056
3,13188.596
4,10438.050
5,9134.429
6,16314.795
7,14845.780
8,15768.794
9,14866.889
10,13449.571
11,12792.361
12,10453.750
13,8946.904
14,11849.571
15,9437.695
16,20348.062
17,22999.371
18,22389.692
19,24496.265
20,24641.765
21,10310.205
22,10211.450
23,10284.444
24,12323.156
25,13117.969
26,9916.286
27,8431.905
28,10347.759
29,11412.516
30,10595.094
31,10245.645
32,9806.161
33,9654.949
34,9848.711
35,9870.667
36,12429.111
37,12202.762
38,12417.467
39,12802.417
40,11863.278
41,20359.587
42,21636.152
43,23441.565
44,25095.674
45,19730.783
46,16300.060
47,15591.687
48,14136.843
49,18499.942
50,19287.000
51,18765.595
52,17023.568
53,11042.850
54,20812.690
55,20436.310
