 ,Mean
1,37448.800
2,37540.067
3,38273.091
4,37194.188
5,37382.545
6,43153.636
7,42318.000
8,47652.200
9,44059.235
10,47907.167
11,43724.000
12,47220.700
13,48715.222
14,46158.900
15,45220.000
16,45823.300
17,45022.000
18,47254.579
19,49215.750
20,49760.000
21,47153.400
22,50955.952
23,54263.188
24,51797.000
25,48524.455
26,52051.192
27,51839.115
28,50347.033
29,53421.409
30,48714.800
31,52187.174
32,57820.786
33,57059.778
34,57433.000
35,56938.857
36,54941.067
37,54782.400
38,54286.933
39,51463.357
40,52947.273
41,57104.050
42,55464.350
43,54183.318
44,61753.067
45,60729.357
46,63193.522
47,63722.913
48,63094.958
49,65162.842
50,59721.810
