X,x,Density
1,17734.768,5276.947314
2,16708.326,4856.128278
3,17291.2,5095.094021
4,17686.802,5257.28229
5,18372.383,5538.355683
6,19372.474,5948.371378
7,19028.968,5807.541342
8,18732.663,5686.062696
9,19713.817,6088.31463
10,19659.073,6065.870773
11,23455.923,7622.497211
12,23137.949,7492.134743
13,23639.923,7697.933234
14,25179.892,8329.28724
15,24442.831,8027.108161
16,22919.034,7402.384325
17,22994.966,7433.514804
18,22373.431,7178.698887
19,22699.086,7312.210399
20,22200.241,7107.69473
21,23929.293,7816.56868
22,24065.983,7872.608626
23,23548.31,7660.373884
24,23561.321,7665.708113
25,23634.396,7695.667284
26,24087.03,7881.237441
27,23472.303,7629.212657
28,23504.273,7642.319666
29,24933.433,8228.244377
30,23843.7,7781.4774
31,25032.788,8268.97778
32,24427.635,8020.878129
33,24174.135,7916.948608
34,24535.717,8065.189413
35,24571.075,8079.685429
36,23401.426,7600.154619
37,23748.362,7742.39088
38,23583.745,7674.901468
39,23766.259,7749.728264
40,23210.204,7521.757732
41,26080.465,8698.502706
42,25150.395,8317.194108
43,25827.651,8594.85443
44,24669.69,8120.115448
45,26451.925,8850.793278
46,28311.333,9613.11037
47,28302.895,9609.650972
48,28152.246,9547.888138
49,28494.661,9688.270887
50,28478.532,9681.658346
51,31404.705,10881.32603
52,31374.409,10868.90533
53,31099.591,10756.23589
54,30813.849,10639.08784
55,31179.953,10789.18257
56,32037.469,11140.7456
57,31440.816,10896.13076
58,32484.327,11323.94772
59,31361.51,10863.61702
60,31461.265,10904.51441
61,27650.591,9342.220431
62,27931.591,9457.424357
63,27225.591,9167.979616
64,27625.733,9332.029188
65,27780.621,9395.52992
