X,x,Density
1,22051.25,7046.611641
2,18845,5732.118438
3,16956,4957.669265
4,13485.35,3534.777777
5,9934.4,2078.965025
6,26333.818,8802.37196
7,17365,5125.350426
8,15581,4393.948984
9,15423,4329.172399
10,11187.67,2592.778638
11,27003.846,9077.068959
12,23345.38,7577.17697
13,18951.333,5775.71267
14,17142.286,5034.042499
15,14394.6,3907.550626
16,32618.889,11379.11523
17,26698.65,8951.945195
18,21632,6874.728202
19,18151.857,5447.944789
20,15844.7,4502.060284
21,34452,12130.65112
22,21195.474,6695.761977
23,16681.75,4845.232693
24,16322,4697.742968
25,13775.63,3653.786304
26,35853.344,12705.17187
27,31614.538,10967.35303
28,23447.69,7619.121859
29,17277.5,5089.477317
30,14842.73,4091.27424
31,35476.429,12550.64487
32,21401.188,6780.10027
33,19557.21,6024.109145
34,13853.182,3685.580947
35,12683.48,3206.028408
36,34076.2,11976.58124
37,23477.636,7631.399072
38,21335.778,6753.283584
39,18769.5,5701.16507
40,15464.98,4346.383291
41,30796.5,10631.97513
42,21495.083,6818.595191
43,17350.7,5119.487735
44,15259.667,4262.209399
45,13326.23,3469.542017
46,27297.444,9197.437793
47,22795.68,7351.811851
48,17038.5,4991.492482
49,14221.667,3836.651833
50,14018.87,3753.509446
