X,x,Density
1,31041.889,10732.57931
2,32127.444,11177.6334
3,34127.231,11997.50285
4,34035.887,11960.05378
5,35860.655,12708.16922
6,35069.917,12383.98373
7,35154.5,12418.66094
8,36084,12799.73585
9,35896.2,12722.74191
10,35318.098,12485.73258
11,38960.583,13979.0727
12,38783.333,13906.40404
13,38423,13758.67529
14,38825.9,13923.85559
15,38463.322,13775.20644
16,43323.625,15767.82563
17,43768.375,15950.16351
18,41656.625,15084.39165
19,42402.95,15390.36877
20,45606.722,16703.84605
21,46179.929,16938.84853
22,45153.857,16518.18119
23,46755.071,17174.64432
24,46699.102,17151.69824
25,44653.297,16312.96241
26,43396.786,15797.82005
27,42801.929,15553.94154
28,40458.25,14593.08381
29,42443.465,15406.97905
30,39437.642,14174.65658
31,44628.2,16302.67318
32,44408.6,16212.64193
33,44670.08,16319.84307
34,44595.677,16289.33945
35,45058.341,16479.02169
36,47812.974,17608.36169
37,47631.421,17533.92888
38,46735,17166.41564
39,46784.237,17186.60175
40,47667.928,17548.89596
41,47222.056,17366.09808
42,47103.222,17317.37871
43,47461.438,17464.23952
44,47345.482,17416.70007
45,47325.388,17408.46196
46,52408.357,19492.36939
47,53629.214,19992.89438
48,55517.556,20767.07378
49,52838.115,19668.56089
50,55236.884,20652.00433
