 ,Mean
1,21878.824
2,18669.000
3,18293.429
4,17268.000
5,12547.500
6,27972.643
7,19363.556
8,21775.625
9,16306.500
10,12968.500
11,26507.471
12,26163.158
13,20371.714
14,18610.400
15,15065.800
16,32447.682
17,30228.750
18,23780.308
19,19572.909
20,10260.000
21,37713.316
22,34325.833
23,26596.125
24,18896.625
25,9281.000
26,41654.973
27,40362.250
28,31730.840
29,25061.389
30,17870.429
31,42220.333
32,32091.850
33,30843.750
34,28888.800
35,15463.000
36,34337.882
37,35262.296
38,25525.294
39,20106.909
40,15471.833
41,33582.524
42,27964.143
43,20098.857
44,16569.400
45,16744.500
46,35193.000
47,29999.286
48,18579.667
49,13095.500
50,13117.000
