 ,Mean
1,12417.375
2,16646.000
3,17917.795
4,12230.738
5,12900.451
6,20448.649
7,19014.100
8,18613.500
9,21057.621
10,22541.020
11,27721.062
12,29170.900
13,28078.596
14,27103.133
15,25709.558
16,27227.600
17,25521.175
18,23954.569
19,27336.595
20,27707.520
21,27464.846
22,26737.718
23,26125.045
24,28176.806
25,28097.000
26,27718.455
27,27365.477
28,28058.000
29,28765.302
30,28956.351
31,27940.273
32,27359.523
33,26828.000
34,28356.179
35,27850.333
36,25876.075
37,26068.375
38,26873.275
39,27013.575
40,26962.175
41,27934.000
42,27581.533
43,28384.455
44,27306.947
45,27194.579
46,35086.081
47,34762.054
48,34313.857
49,33512.759
50,32690.190
51,35370.596
52,35869.468
53,36504.489
54,33690.673
55,34533.810
56,35476.130
57,35569.556
58,34905.102
59,37992.915
60,37070.357
61,31756.133
62,31701.467
63,31457.413
64,33825.972
65,33898.265
