Specimen.ID,Treatment.Group,Bone.Group,BoneDensity,Position
A2,Aquatic,Radials,572.8262399,Dorsal1
A2,Aquatic,Radials,637.7440077,Dorsal1
A2,Aquatic,Radials,694.1514826,Dorsal1
A2,Aquatic,Radials,666.4416918,Dorsal1
A2,Aquatic,Radials,596.0085099,Dorsal1
A2,Aquatic,Radials,790.7494328,Dorsal2
A2,Aquatic,Radials,800.0648807,Dorsal2
A2,Aquatic,Radials,733.1381462,Dorsal2
A2,Aquatic,Radials,778.9156784,Dorsal2
A2,Aquatic,Radials,751.0166287,Dorsal2
A2,Aquatic,Radials,745.7372724,Dorsal3
A2,Aquatic,Radials,750.2715613,Dorsal3
A2,Aquatic,Radials,752.5213728,Dorsal3
A2,Aquatic,Radials,749.7794718,Dorsal3
A2,Aquatic,Radials,746.1862773,Dorsal3
A2,Aquatic,Radials,697.500118,Dorsal4
A2,Aquatic,Radials,640.6779739,Dorsal4
A2,Aquatic,Radials,686.8729816,Dorsal4
A2,Aquatic,Radials,718.656171,Dorsal4
A2,Aquatic,Radials,688.6571156,Dorsal4
A2,Aquatic,Radials,750.4669279,Dorsal5
A2,Aquatic,Radials,767.9177828,Dorsal5
A2,Aquatic,Radials,777.0067474,Dorsal5
A2,Aquatic,Radials,765.6866248,Dorsal5
A2,Aquatic,Radials,759.4320035,Dorsal5
A2,Aquatic,Radials,700.6676658,Dorsal6
A2,Aquatic,Radials,691.6450615,Dorsal6
A2,Aquatic,Radials,696.3450034,Dorsal6
A2,Aquatic,Radials,686.9537034,Dorsal6
A2,Aquatic,Radials,701.3245005,Dorsal6
A2,Aquatic,Radials,798.0241371,Ventral6
A2,Aquatic,Radials,807.3508927,Ventral6
A2,Aquatic,Radials,810.5775374,Ventral6
A2,Aquatic,Radials,795.7955377,Ventral6
A2,Aquatic,Radials,810.1412433,Ventral6
A2,Aquatic,Radials,900.9898678,Ventral5
A2,Aquatic,Radials,910.2401935,Ventral5
A2,Aquatic,Radials,934.556696,Ventral5
A2,Aquatic,Radials,948.3618625,Ventral5
A2,Aquatic,Radials,890.2283601,Ventral5
A2,Aquatic,Radials,835.8345566,Ventral4
A2,Aquatic,Radials,829.2469783,Ventral4
A2,Aquatic,Radials,839.0591379,Ventral4
A2,Aquatic,Radials,833.4022543,Ventral4
A2,Aquatic,Radials,827.1383887,Ventral4
A2,Aquatic,Radials,848.8486821,Ventral3
A2,Aquatic,Radials,847.9497644,Ventral3
A2,Aquatic,Radials,818.5048669,Ventral3
A2,Aquatic,Radials,810.8080651,Ventral3
A2,Aquatic,Radials,829.2681079,Ventral3
A2,Aquatic,Radials,1089.595601,Ventral2
A2,Aquatic,Radials,1077.596854,Ventral2
A2,Aquatic,Radials,1057.137419,Ventral2
A2,Aquatic,Radials,1086.314234,Ventral2
A2,Aquatic,Radials,1050.786559,Ventral2
A2,Aquatic,Radials,799.7175623,Ventral1
A2,Aquatic,Radials,815.723678,Ventral1
A2,Aquatic,Radials,798.0543459,Ventral1
A2,Aquatic,Radials,812.184298,Ventral1
A2,Aquatic,Radials,812.0027152,Ventral1
A2,Aquatic,Proximal_Fin_Rays,751.0250476,Dorsal1
A2,Aquatic,Proximal_Fin_Rays,736.5809571,Dorsal1
A2,Aquatic,Proximal_Fin_Rays,775.8570803,Dorsal1
A2,Aquatic,Proximal_Fin_Rays,755.540683,Dorsal1
A2,Aquatic,Proximal_Fin_Rays,795.2157107,Dorsal1
A2,Aquatic,Proximal_Fin_Rays,1014.113838,Dorsal2
A2,Aquatic,Proximal_Fin_Rays,939.1696433,Dorsal2
A2,Aquatic,Proximal_Fin_Rays,997.9659231,Dorsal2
A2,Aquatic,Proximal_Fin_Rays,892.6698241,Dorsal2
A2,Aquatic,Proximal_Fin_Rays,955.7769633,Dorsal2
A2,Aquatic,Proximal_Fin_Rays,1132.338719,Dorsal3
A2,Aquatic,Proximal_Fin_Rays,1204.982177,Dorsal3
A2,Aquatic,Proximal_Fin_Rays,1213.293719,Dorsal3
A2,Aquatic,Proximal_Fin_Rays,1229.211355,Dorsal3
A2,Aquatic,Proximal_Fin_Rays,1191.627584,Dorsal3
A2,Aquatic,Proximal_Fin_Rays,1118.847278,Dorsal4
A2,Aquatic,Proximal_Fin_Rays,1211.853437,Dorsal4
A2,Aquatic,Proximal_Fin_Rays,1256.148675,Dorsal4
A2,Aquatic,Proximal_Fin_Rays,1222.615358,Dorsal4
A2,Aquatic,Proximal_Fin_Rays,1169.64211,Dorsal4
A2,Aquatic,Proximal_Fin_Rays,1151.561245,Dorsal5
A2,Aquatic,Proximal_Fin_Rays,1167.68151,Dorsal5
A2,Aquatic,Proximal_Fin_Rays,1157.502223,Dorsal5
A2,Aquatic,Proximal_Fin_Rays,1138.91078,Dorsal5
A2,Aquatic,Proximal_Fin_Rays,1133.030797,Dorsal5
A2,Aquatic,Proximal_Fin_Rays,1076.388503,Ventral5
A2,Aquatic,Proximal_Fin_Rays,992.5210787,Ventral5
A2,Aquatic,Proximal_Fin_Rays,920.383164,Ventral5
A2,Aquatic,Proximal_Fin_Rays,1030.408176,Ventral5
A2,Aquatic,Proximal_Fin_Rays,970.9837843,Ventral5
A2,Aquatic,Proximal_Fin_Rays,1048.057451,Ventral4
A2,Aquatic,Proximal_Fin_Rays,992.1381865,Ventral4
A2,Aquatic,Proximal_Fin_Rays,966.6443668,Ventral4
A2,Aquatic,Proximal_Fin_Rays,976.1326486,Ventral4
A2,Aquatic,Proximal_Fin_Rays,977.2832236,Ventral4
A2,Aquatic,Proximal_Fin_Rays,1177.424916,Ventral3
A2,Aquatic,Proximal_Fin_Rays,1214.907331,Ventral3
A2,Aquatic,Proximal_Fin_Rays,1146.235998,Ventral3
A2,Aquatic,Proximal_Fin_Rays,1232.219605,Ventral3
A2,Aquatic,Proximal_Fin_Rays,1171.418485,Ventral3
A2,Aquatic,Proximal_Fin_Rays,991.4655046,Ventral2
A2,Aquatic,Proximal_Fin_Rays,1003.370159,Ventral2
A2,Aquatic,Proximal_Fin_Rays,997.3174247,Ventral2
A2,Aquatic,Proximal_Fin_Rays,992.7159501,Ventral2
A2,Aquatic,Proximal_Fin_Rays,995.121015,Ventral2
A2,Aquatic,Proximal_Fin_Rays,1256.014057,Ventral1
A2,Aquatic,Proximal_Fin_Rays,1067.836033,Ventral1
