X,x,Density
1,19685.211,432.9043336
2,19309.594,425.0070064
3,22105.368,483.7880044
4,21725.648,475.8044118
5,21087.238,462.3818759
6,27406.868,595.2517569
7,26075.198,567.2534668
8,24548.022,535.1446735
9,28565.648,619.6150441
10,28337.352,614.815133
11,27243.563,591.8182781
12,26462.296,575.3921814
13,25215.465,549.1776267
14,27856.634,604.7080629
15,30310.479,656.3000221
16,34513.81,744.6748304
17,35476.444,764.9141585
18,35608.921,767.6994803
19,34278.889,739.735629
20,32641.889,705.317792
21,30361.87,657.3805151
22,30131.87,652.5447775
23,30041.261,650.6397281
24,28262.783,613.2473238
25,26051.696,566.7593385
26,31342.333,677.994697
27,31503.429,681.3817317
28,31327.929,677.6918537
29,30210.976,654.2079769
30,29626.119,641.9113899
31,26276.796,571.4920539
32,26383.085,573.7267744
33,25634.255,557.9826639
34,28145.511,610.7816863
35,30168.085,653.3061959
36,26915.333,584.91726
37,26210.119,570.0901735
38,25697.357,559.3093801
39,24129.619,526.3477729
40,25379.31,552.622459
41,27683.211,601.0618537
42,27552.684,598.3175305
43,27955.105,606.7784104
44,26600.605,578.3001207
45,26330.395,572.61897
46,28259.486,613.1780045
47,27622.865,599.7930822
48,27831.73,604.1844576
49,29615.351,641.6849933
50,29620.838,641.8003572
51,30349.382,657.1179556
52,29700.735,643.4801873
53,28405.588,616.2497912
54,30172.706,653.4033522
55,30985.294,670.4879712
56,35562.019,766.7133683
57,33495.66,723.2682814
58,32381.113,699.8349907
59,39334,846.0190661
60,37521.019,807.901238
61,37935.066,816.6065539
62,37909.787,816.0750643
63,38128.148,820.6660926
64,40322.978,866.8122754
65,39915.543,858.2459764
66,39468.65,848.8500751
67,39384.825,847.087659
68,40076.814,861.6366905
69,37839.524,814.5977885
70,37752.116,812.76004
