X,x,Density
1,21271.7,466.2601795
2,20972.2,459.9632081
3,14463.2,323.111833
4,14334.2,320.399615
5,8750,202.9921102
6,27286.5,592.7210262
7,22376.429,489.4870474
8,21674.143,474.721522
9,20612.625,452.4031631
10,19557.8,430.2255242
11,25240.818,549.7106721
12,22373.2,489.4191578
13,22035.5,482.3190335
14,22046,482.5397954
15,20491,449.846004
16,32912.083,710.9986064
17,26700.778,580.4062526
18,25465.9,554.4430091
19,21189.667,464.5354401
20,18154.5,400.7212171
21,30490.933,660.0940578
22,22902.75,500.5529181
23,22169.714,485.1408756
24,22217.333,486.1420625
25,19744.167,434.1438803
26,28831.385,625.2021503
27,23135,505.4359619
28,23586.25,514.9234689
29,19513.2,429.2878116
30,15864.333,352.570579
31,28950.143,627.6990308
32,21909,479.6593778
33,22570.667,493.5708909
34,17251,381.7251782
35,13555.333,304.0239782
36,33641,726.3240471
37,26536.579,576.9539775
38,22797.75,498.3452988
39,18609.429,410.2860749
40,18835,415.028693
41,40450.167,869.4864172
42,39011.091,839.2299217
43,30381.7,657.7974398
44,24606.182,536.3674843
45,20114.455,441.9291656
46,17435,385.5937683
47,18927,416.9629881
48,15352,341.7988053
49,15917,353.6778999
50,13084.5,294.1247396
