X,x,Density
1,30815.5,666.9180615
2,27628.25,599.9063016
3,26166,569.1625739
4,32205.75,696.147993
5,31032.5,671.4804748
6,39011,839.2280084
7,39755.125,854.8731966
8,38560.75,829.7615264
9,35710.125,769.827289
10,32376.375,699.7353745
11,37966.778,817.273297
12,36198,780.0848347
13,36049.111,776.9544514
14,38041,818.8338106
15,37522.778,807.9382209
16,40221.667,864.682217
17,42171.222,905.6715061
18,43379,931.0649736
19,42042.667,902.9686441
20,42353.889,909.51207
21,44132.667,946.9107818
22,43694.5,937.6983442
23,43889.5,941.7982087
24,44275.167,949.9068366
25,42901.333,921.0220506
26,39993.417,859.883273
27,40239.917,865.0659223
28,39853.083,856.9327582
29,40157.75,863.3383655
30,40469.917,869.9016599
31,39487.071,849.2373756
32,40368.5,867.769373
33,40499.929,870.5326606
34,39242.857,844.1027894
35,38744.286,833.6203609
36,41560.067,892.8220051
37,40485.667,870.2328028
38,38591.133,830.4003273
39,40306.933,866.4749301
40,43516.8,933.9622112
41,56048.933,1197.449634
42,55435.6,1184.554341
43,56069,1197.871541
44,57132,1220.221059
45,56000.667,1196.434844
46,39286.938,845.0295901
47,37450.75,806.4238361
48,40050.125,861.0755557
49,38996.062,838.9139378
50,36477.375,785.958679
