 ,Mean
1,16942.500
2,13777.000
3,11076.250
4,11628.400
5,8090.000
6,15958.500
7,12353.500
8,11368.200
9,9160.667
10,8291.500
11,18288.667
12,16004.600
13,12946.375
14,13333.333
15,9348.500
16,13307.182
17,13064.000
18,11952.833
19,10906.250
20,10565.750
21,15305.000
22,14523.667
23,12661.706
24,10670.250
25,8507.750
26,15044.667
27,13093.917
28,13133.000
29,11625.667
30,9657.200
31,22645.630
32,22697.188
33,19546.900
34,17491.500
35,14589.500
36,26208.542
37,26239.529
38,24369.429
39,19507.737
40,16511.000
41,28278.500
42,21602.000
43,16217.357
44,14163.300
45,12329.100
46,18215.059
47,18313.118
48,13287.143
49,11790.556
50,9263.000
