 ,Mean
1,23908.833
2,24138.750
3,25243.333
4,22660.800
5,22448.000
6,21700.467
7,20631.214
8,21570.750
9,22725.600
10,21739.375
11,21475.444
12,21747.000
13,22379.333
14,21855.625
15,21027.200
16,23587.556
17,23797.857
18,23379.778
19,24154.111
20,24685.000
21,19807.750
22,20258.857
23,20058.000
24,21760.333
25,22354.364
26,20007.875
27,20702.778
28,19867.143
29,21960.571
30,20853.500
31,31397.048
32,33207.412
33,33863.400
34,31859.200
35,31772.000
36,33909.882
37,33408.412
38,33061.471
39,33941.941
40,34161.294
41,24924.375
42,26072.600
43,25847.500
44,27893.000
45,26381.286
46,31389.357
47,31605.714
48,33082.500
49,30339.500
50,28245.889
