 ,Mean
1,9755.384
2,9858.366
3,10171.867
4,9463.256
5,9208.205
6,13682.114
7,13679.274
8,13650.592
9,14177.536
10,13622.565
11,13279.118
12,13030.662
13,13552.221
14,12873.059
15,13463.559
16,12802.761
17,13044.328
18,12265.192
19,13835.840
20,13248.769
21,15872.020
22,15836.980
23,15628.778
24,15407.980
25,15042.700
26,15912.154
27,15765.487
28,16287.514
29,16449.600
30,16284.543
31,15959.949
32,16360.316
33,16394.071
34,15694.444
35,15580.694
36,17551.568
37,18830.939
38,18637.515
39,18115.139
40,17166.067
41,20821.300
42,21275.750
43,21506.600
44,21521.425
45,21507.550
46,22372.848
47,23016.000
48,22193.881
49,22016.952
50,22931.571
51,28230.153
52,28672.389
53,28660.153
54,27996.931
55,27286.514
56,27408.000
57,26982.625
58,26690.038
59,28731.341
60,27081.635
61,25496.286
62,27096.603
63,27378.500
64,27223.222
65,26275.241
