X,x,Density
1,14260.04,405.7363703
2,14444.337,410.632075
3,13641.09,389.2944508
4,14001.92,398.8796157
5,14393.284,409.2758922
6,19068.667,533.4737607
7,19224.333,537.6089054
8,18479.955,517.8350899
9,16898.938,475.836618
10,15668.83,443.1597675
11,16635.485,468.8381965
12,15644.652,442.5174979
13,16391.53,462.357724
14,17076.636,480.5570255
15,16254.03,458.7051447
16,19507.075,545.119724
17,19203.761,537.0624264
18,19347.672,540.8853088
19,18283.358,512.6126454
20,17873.224,501.7177585
21,18670.467,522.8958912
22,17465.667,490.8913277
23,17782.622,499.3109877
24,18140.422,508.8156631
25,18397.378,515.6414969
26,21464.754,597.1239254
27,22115.538,614.41149
28,21792.692,605.8353402
29,21277.4,592.1470139
30,21888.754,608.3871516
31,19531.818,545.7770023
32,18696.545,523.5886327
33,19068.659,533.4735482
34,20360.205,567.7824508
35,19820.045,553.4335257
36,20404.2,568.9511433
37,20457.657,570.3711865
38,20321.914,566.7652805
39,20327.971,566.92618
40,20330.2,566.9853916
41,21255.533,591.5661342
42,21270.4,591.9610644
43,21666.2,602.4751798
44,18996.8,531.5646704
45,18971.244,530.8857954
46,19955.026,557.0191897
47,20372.526,568.1097485
48,20816.632,579.9070747
49,18887.526,528.6618926
50,18129.895,508.5360216
51,24302.348,672.502376
52,23509.913,651.4519641
53,22180.457,616.1360121
54,25331.109,699.830602
55,24742.326,684.1900451
56,24320.591,672.9869869
57,23938.227,662.8297883
58,23473.318,650.4798467
59,23269.955,645.0776687
60,22914.25,635.6286454
61,25589.364,706.6909427
62,24901.364,688.4147644
63,23918.212,662.2981055
64,25154.636,695.1427357
65,27012.758,744.5022837
66,18839.382,527.3829852
67,18356.225,514.5482998
68,18903.629,529.0896561
69,19157.238,535.8265796
70,17459.562,490.7291532
