X,x,Density
1,38815.533,1058.033709
2,36399.6,993.8563512
3,33684.467,921.7309806
4,37184.733,1014.712791
5,36150.267,987.2330163
6,35329.357,965.4261885
7,33982.786,929.65559
8,35596.357,972.5188332
9,34377.357,940.137058
10,35546.857,971.2039047
11,37236.588,1016.090278
12,35504,970.0654423
13,34624.471,946.7014468
14,36837.765,1005.495859
15,36264.529,990.2682964
16,39797.75,1084.125531
17,40745.875,1109.311725
18,40385.375,1099.735326
19,36923.75,1007.779983
20,36820.25,1005.030587
21,38805.167,1057.758345
22,39190.083,1067.983335
23,38039.5,1037.419004
24,35901.167,980.6158709
25,35108.833,959.568142
26,29669.611,815.0794919
27,29639.944,814.2914114
28,29476.722,809.9555475
29,28829.889,792.7729381
30,27436.833,755.7675022
31,37506.389,1023.25733
32,37470.667,1022.308403
33,39162.111,1067.240281
34,36440.889,994.9531609
35,35773.333,977.2200614
36,43044.722,1170.378785
37,42897.889,1166.478282
38,42702.111,1161.277594
39,42660.5,1160.17223
40,42555.111,1157.372655
41,45060.591,1223.928758
42,43594.318,1184.97837
43,42454.409,1154.697585
44,43993.636,1195.585939
45,43716.818,1188.232486
46,48014.733,1302.403215
47,48009.4,1302.261548
48,48144.667,1305.854809
49,48732.133,1321.460381
50,46666.933,1266.599969
