X,x,Density
1,18650.073,501.8793748
2,15529.727,428.8774148
3,18593.473,500.5551912
4,17087.218,465.3156482
5,15750.8,434.0495215
6,21231.044,562.2624034
7,20846.689,553.2702377
8,21295.244,563.7643926
9,21574.071,570.2876812
10,22384.818,589.255488
11,20357.25,541.8195824
12,19614.136,524.4340814
13,19003.977,510.1591251
14,19157.205,513.7439661
15,19519.919,522.2298305
16,20023.459,534.0103853
17,18400.514,496.0408248
18,17401.946,472.6788575
19,21045.622,557.9243687
20,20680.405,549.3799454
21,23359.312,612.0542327
22,21972.938,579.6193619
23,22983.469,603.2612092
24,23705.5,620.1534636
25,23226.531,608.9477589
26,20001.822,533.5041775
27,19644.178,525.1369281
28,21898.044,577.8671816
29,18793.044,505.2242485
30,19581.067,523.6604167
31,24865.375,647.2892839
32,24216.688,632.1129469
33,25172.969,654.48559
34,23320.188,611.1389084
35,23030.688,604.3659199
36,28721.224,737.498682
37,27722.898,714.1423764
38,27222.388,702.4327099
39,25680.653,666.3630956
40,22235.939,585.7723939
41,28375.75,729.4161555
42,28421.425,730.4847436
43,28264.55,726.8145793
44,26428.75,683.8651762
45,26469,684.8068438
46,28958.318,743.0456075
47,28910.909,741.9364516
48,29576.409,757.5061367
49,28987.182,743.7208943
50,27299.5,704.2367813
51,35432,894.5004379
52,36779.909,926.035402
53,36166.727,911.6897211
54,37476.227,942.3260886
55,36489.614,919.2438141
56,31640.242,805.7904789
57,33260.242,843.6911397
58,33666,853.1840386
59,30740.636,784.7437741
60,31727.848,807.8400624
61,38026.848,955.2081255
62,36306.391,914.957226
63,34303.239,868.0925443
64,38076.326,956.3656865
65,37865.978,951.4444963
66,47768.712,1183.123609
67,46408.692,1151.305302
68,46744.462,1159.160799
69,48749.077,1206.059708
70,49707.75,1228.488313
71,12107.562,348.8142576
72,12172.718,350.3386128
73,11881.051,343.5149263
74,17853.871,483.2518551
75,16435.274,450.0631121
