X,x,Density
1,25108.4,652.9749679
2,23684.167,619.654368
3,21545.333,569.6153422
4,16093.286,442.0621423
5,15539,429.094361
6,20282.091,540.0612023
7,19765.667,527.9792203
8,19218.3,515.1733123
9,20161.167,537.2321286
10,13460.75,380.4727263
11,30718,784.2141942
12,22573.714,593.6747986
13,18284.143,493.3182706
14,17553.25,476.2186857
15,17014.25,463.6085275
16,30446.444,777.8610141
17,20273.333,539.8563048
18,25546.4,663.2221836
19,18911.111,507.9864814
20,26327.4,681.4940453
21,33298.333,844.5822965
22,22081.583,582.1611627
23,22928.571,601.9768448
24,17682.833,479.2503408
25,21417.667,566.6285361
26,46022.643,1142.273504
27,37076.381,932.9715037
28,28703.571,737.0856818
29,27718.444,714.038173
30,22678.5,596.1263163
31,44860.65,1115.088132
32,37854.778,951.182467
33,27561.8,710.373413
34,33388.333,846.6878888
35,24781.5,645.3269889
36,32789.421,832.6760613
37,31042,791.7943264
38,29314.238,751.372523
39,34962.571,883.517926
40,24846,646.8359967
41,39189.842,982.4169163
42,35503.444,896.1719039
43,27219.333,702.3612367
44,21144.857,560.2460181
45,17603.833,477.4020987
46,27537,709.7932054
47,24019,627.4879433
48,21502.5,568.613244
49,18838.333,506.2838059
50,21404,566.3087903
