X,x,Density
1,29209.7,748.9268074
2,29844.3,763.7735724
3,32815.2,833.2791731
4,28173.5,724.6844218
5,30995.5,790.706437
6,40090.786,1003.494924
7,40907.357,1022.598986
8,42326.214,1055.793812
9,35198.929,889.0476324
10,32860.357,834.3356423
11,35003.444,884.4741691
12,35470.444,895.3998534
13,35325.667,892.0127275
14,32969.444,836.8877839
15,35646.571,899.5204273
16,33208.833,842.488402
17,33496.667,849.2224136
18,34383.167,869.9624974
19,33040.667,838.5540794
20,33347,845.7208838
21,39925.154,999.6198858
22,40677.692,1017.225866
23,39315.462,985.3558551
24,38934.154,976.4349754
25,37939.308,953.1600861
26,56450.737,1386.243661
27,61205.684,1497.487879
28,51567.053,1271.98758
29,49967.842,1234.573288
30,49368.842,1220.559401
31,62723.783,1533.004518
32,60866.304,1489.547924
33,62040.043,1517.008099
34,63526.13,1551.775803
35,63516.174,1551.542877
36,54239.6,1334.513072
37,55825.467,1371.615175
38,55726.167,1369.292005
39,51451.2,1269.277145
40,55726.167,1369.292005
41,44752.133,1112.549326
42,43834.533,1091.081643
43,41668,1040.394586
44,40444.2,1011.763211
45,43053.2,1072.801991
46,41437.727,1035.007241
47,38802.182,973.3474285
48,39261.833,984.1011795
49,42394.667,1057.395302
50,41837.222,1044.353615
