X,x,Density
1,6747.227,317.8414983
2,6771.427,325.6024277
3,6800.813,335.0265051
4,6740.239,315.6004498
5,6713.324,306.9688211
6,6760.37,322.0564527
7,6742.164,316.2177965
8,6792.176,332.256623
9,6801.757,335.3292455
10,6884.419,361.8389127
11,6942.946,380.608496
12,6977.054,391.5469167
13,6995.464,397.4509956
14,6981.268,392.8983446
15,7008.607,401.6659499
16,6841.033,347.9250415
17,6842.95,348.5398225
18,6853.833,352.0299959
19,6849.167,350.5336117
20,6895.133,365.2748878
21,7221.566,469.961808
22,7235.415,474.4031763
23,7217.245,468.5760652
24,7047.962,414.2870812
25,7014,403.3954827
26,7221.405,469.9101754
27,7225.622,471.2625655
28,7159.27,449.9835081
29,7172.919,454.3607364
30,7135.486,442.3559897
31,6971.274,389.6932732
32,6971.581,389.7917279
33,6947.968,382.2190492
34,6967.129,388.3639735
35,6913.758,371.2479172
36,6936,378.3809168
37,6916.846,372.2382374
38,6886.026,362.3542769
39,6947.026,381.9169502
40,6928.633,376.0183231
41,7238.026,475.2405228
42,7241.658,476.4053036
43,7248.789,478.6922122
44,7147.263,446.1328685
45,7134.526,442.0481181
46,7465.857,548.3058248
47,7412,531.0339085
48,7362.833,515.2660731
49,7415.452,532.1409634
50,7335.619,506.5385552
51,7616.64,596.6618669
52,7601.72,591.8770295
53,7576.5,583.7889865
54,7584.7,586.4187229
55,7577.64,584.154584
56,7805.849,657.3411104
57,7741.493,636.7021694
58,7678.562,616.5202252
59,7839.986,668.2888314
60,7842.671,669.1499097
61,7664.368,611.9682156
62,7709.386,626.4054685
63,7767.333,644.9890461
64,7820.14,661.9242279
65,7630.579,601.1320981
66,7505.987,561.1754983
67,7428.973,536.4771422
68,7364.76,515.8840612
69,7513.827,563.6897828
70,7487.08,555.1120316
