X,x,Density
1,7009.5,401.9523346
2,7140.467,443.9533942
3,6885.5,362.1855889
4,7327.333,503.8812386
5,7039,411.4129717
6,7285.4,490.4333439
7,7079.261,424.3246568
8,6997.462,398.0917533
9,6769.467,324.9738566
10,6762.333,322.6859859
11,7240.545,476.048365
12,7191.615,460.3565354
13,7116.083,436.1334561
14,7171.625,453.9457512
15,6923.286,374.3035426
16,7043.154,412.7451577
17,6975,390.8881997
18,7196.8,462.0193627
19,6971.875,389.8860136
20,6760.4,322.0660737
21,7631.65,601.4755674
22,7136.806,442.7793131
23,7032.889,409.4531767
24,7041.25,412.1345458
25,6785.818,330.2176151
26,8192,781.1795671
27,7864.889,676.2752126
28,7479.143,552.5666392
29,7251.1,479.4333489
30,7269.538,485.3464074
31,7935.658,698.9707999
32,7874.324,679.3010129
33,7531.714,569.4261359
34,6984.391,393.8998893
35,6917.714,372.5166046
36,7670.152,613.8231419
37,7407.25,529.5105856
38,6775.567,326.9301239
39,6876.222,359.2101384
40,6827.556,343.6029735
41,7606.649,593.4577576
42,7213.875,467.4953077
43,7304.259,496.4814169
44,7199.815,462.9862719
45,7099.6,430.8473652
46,7513.727,563.6577129
47,7609.545,594.3865035
48,7355.957,513.0609429
49,6954.636,384.3574739
50,7130.706,440.8230458
