X,x,Density
1,7463.5,547.5499359
2,7368.5,517.0834775
3,7415.214,532.0646369
4,7548.643,574.8552588
5,7548.643,574.8552588
6,7722.222,630.5219681
7,7626.722,599.8951599
8,7599.056,591.0226858
9,7703.667,624.5713877
10,7744,637.5061632
11,7804.6,656.9405567
12,7732.067,633.6792553
13,7640.133,604.1960617
14,7822.267,662.6063558
15,7804.933,657.0473496
16,8005.615,721.4059792
17,8000.385,719.7287205
18,8038.294,731.8861202
19,8085.857,747.1395535
20,8107.929,754.2180342
21,7811,658.9930339
22,7818.824,661.5021872
23,7819.353,661.6718373
24,7826.647,664.0110199
25,7842.882,669.2175773
26,8361.35,835.490038
27,8343.1,829.637271
28,8204.25,785.1081367
29,8391.75,845.2393047
30,8432.05,858.163497
31,8764.609,964.8150228
32,8780.087,969.7788106
33,8776.435,968.6076158
34,8740.826,957.1878251
35,8786.609,971.8704132
36,8418.968,853.9681054
37,8326,824.1533085
38,8219.226,789.9109334
39,8444.968,862.306294
40,8487,875.785938
41,8261.667,803.5217435
42,8291.067,812.9503107
43,8221.6,790.6722742
44,8275.219,807.867864
45,8198.031,783.1137062
46,7817.722,661.1487763
47,7677.056,616.0372517
48,7653.889,608.6076049
49,8244.667,798.069851
50,8203.941,785.0090406
